Title;Year;Medium;Description;Creator/Editor;Company/Publisher;Language;Theme;Math. Content?;Ed. Level;Link
The Art of Doing Science and Engineering: Learning to Learn;2020;Book;The book is filled with stories of great people performing mighty deeds—but they are not meant simply to be admired. Instead, they are to be aspired to, learned from, and surpassed. Hamming consistently returns to Shannon’s information theory, Einstein’s theory of relativity, Grace Hopper’s work on high-level programming, Kaiser’s work on digital filters, and his own work on error-correcting codes. He also recounts a number of his spectacular failures as clear examples of what to avoid.;Richard W. Hamming ;Stripe Press;English;History of Mathematics;;;
The Art of Statistical Thinking: Detect Misinformation, Understand the World Deeper, and Make Better Decisions;2022;Book;Know what to look for when analyzing data. Information gets skewed – often unintentionally – because of the mainstream ways of doing statistics that didn’t catch up to big data. Stop staying in the dark. This book shines the light on the most common statistical methods - and their most frequent misuse. This step-by-step guide not only helps you detect what goes wrong in statistics but also educates you on how to utilize invaluable information statistics gets right to your benefit.;Albert Rutherford | Jae H. Kim;A.R.B. Publications;English;Statistics;;;
The Art of Strategy: A Game Theorist's Guide to Success in Business and Life;2010;Book;Game theory means rigorous strategic thinking. It’s the art of anticipating your opponent’s next moves, knowing full well that your rival is trying to do the same thing to you. Though parts of game theory involve simple common sense, much is counterintuitive, and it can only be mastered by developing a new way of seeing the world. Using a diverse array of rich case studies—from pop culture, TV, movies, sports, politics, and history—the authors show how nearly every business and personal interaction has a game-theory component to it. Mastering game theory will make you more successful in business and life, and this lively book is the key to that mastery.;Avinash K. Dixit | Barry J. J. Nalebuff;W. W. Norton & Company;English;Game theory;;;
The Art of Uncertainty: How to Navigate Chance, Ignorance, Risk and Luck;2025;Book;In lucid, lively prose, Spiegelhalter guides us through the principles of probability, illustrating how they can help us think more analytically about everything from medical advice to sports to climate change forecasts. He demonstrates how taking a mathematical approach to phenomena we might otherwise attribute to fate or luck can help us sort hidden patterns from mere coincidences, better evaluate cause and effect, and predict what’s likely to happen in the future. Along the way, we learn how a misinterpretation of a probability contributed to the infamous Bay of Pigs fiasco, why a ship twice the size of the Titanic sank without a trace, and why we can be so confident that no two properly shuffled decks of cards have ever been in the same order. ~Amazon;David Spiegelhalter;W. W. Norton & Company;English;;;;
The beautiful math of coral;2009;TED-talk;Margaret Wertheim leads a project to re-create the creatures of the coral reefs using a crochet technique invented by a mathematician -- celebrating the amazements of the reef, and deep-diving into the hyperbolic geometry underlying coral creation.;Margaret Wertheim;TED;English;Non-Euclidean Geometry;Yes;All;
The Best Writing on Mathematics 2010 (Volume 1);2010;Book;This annual anthology brings together the year’s finest mathematics writing from around the world. Featuring promising new voices alongside some of the foremost names in the field, The Best Writing. on Mathematics makes mathematical writing available to a wide audience. ~Princeton Press;Mircea Pitici;Princeton University Press;English;Misc.;;;https://www.jstor.org/bookseries/j.ctt4zbnk?refreqid=excelsior%3A2a6ab47c2b4508c8d1cf4d31e3a6ef75
The Best Writing on Mathematics 2011;2011;Book;This annual anthology brings together the year’s finest mathematics writing from around the world. Featuring promising new voices alongside some of the foremost names in the field, The Best Writing. on Mathematics makes mathematical writing available to a wide audience. ~Princeton Press;Mircea Pitici;Princeton University Press;English;Misc.;;;https://www.jstor.org/bookseries/j.ctt4zbnk?refreqid=excelsior%3A2a6ab47c2b4508c8d1cf4d31e3a6ef75
The Best Writing on Mathematics 2012;2012;Book;This annual anthology brings together the year’s finest mathematics writing from around the world. Featuring promising new voices alongside some of the foremost names in the field, The Best Writing. on Mathematics makes mathematical writing available to a wide audience. ~Princeton Press;Mircea Pitici;Princeton University Press;English;Misc.;;;https://www.jstor.org/bookseries/j.ctt4zbnk?refreqid=excelsior%3A2a6ab47c2b4508c8d1cf4d31e3a6ef75
The Best Writing on Mathematics 2013;2014;Book;This annual anthology brings together the year’s finest mathematics writing from around the world. Featuring promising new voices alongside some of the foremost names in the field, The Best Writing. on Mathematics makes mathematical writing available to a wide audience. ~Princeton Press;Mircea Pitici;Princeton University Press;English;Misc.;;;https://www.jstor.org/bookseries/j.ctt4zbnk?refreqid=excelsior%3A2a6ab47c2b4508c8d1cf4d31e3a6ef75
The Best Writing on Mathematics 2014;2015;Book;This annual anthology brings together the year’s finest mathematics writing from around the world. Featuring promising new voices alongside some of the foremost names in the field, The Best Writing. on Mathematics makes mathematical writing available to a wide audience. ~Princeton Press;Mircea Pitici;Princeton University Press;English;Misc.;;;https://www.jstor.org/bookseries/j.ctt4zbnk?refreqid=excelsior%3A2a6ab47c2b4508c8d1cf4d31e3a6ef75
The Best Writing on Mathematics 2015;2016;Book;This annual anthology brings together the year’s finest mathematics writing from around the world. Featuring promising new voices alongside some of the foremost names in the field, The Best Writing. on Mathematics makes mathematical writing available to a wide audience. ~Princeton Press;Mircea Pitici;Princeton University Press;English;Misc.;;;https://www.jstor.org/bookseries/j.ctt4zbnk?refreqid=excelsior%3A2a6ab47c2b4508c8d1cf4d31e3a6ef75
The Best Writing on Mathematics 2017;2017;Book;This annual anthology brings together the year’s finest mathematics writing from around the world. Featuring promising new voices alongside some of the foremost names in the field, The Best Writing. on Mathematics makes mathematical writing available to a wide audience. ~Princeton Press;Mircea Pitici;Princeton University Press;English;Misc.;;;https://www.jstor.org/bookseries/j.ctt4zbnk?refreqid=excelsior%3A2a6ab47c2b4508c8d1cf4d31e3a6ef75
The Best Writing on Mathematics 2018;2018;Book;This annual anthology brings together the year’s finest mathematics writing from around the world. Featuring promising new voices alongside some of the foremost names in the field, The Best Writing. on Mathematics makes mathematical writing available to a wide audience. ~Princeton Press;Mircea Pitici;Princeton University Press;English;Misc.;;;https://www.jstor.org/bookseries/j.ctt4zbnk?refreqid=excelsior%3A2a6ab47c2b4508c8d1cf4d31e3a6ef75
The Best Writing on Mathematics 2019;2019;Book;This annual anthology brings together the year’s finest mathematics writing from around the world. Featuring promising new voices alongside some of the foremost names in the field, The Best Writing. on Mathematics makes mathematical writing available to a wide audience. ~Princeton Press;Mircea Pitici;Princeton University Press;English;Misc.;;;https://www.jstor.org/bookseries/j.ctt4zbnk?refreqid=excelsior%3A2a6ab47c2b4508c8d1cf4d31e3a6ef75
The Best Writing on Mathematics 2020;2020;Book;This annual anthology brings together the year’s finest mathematics writing from around the world. Featuring promising new voices alongside some of the foremost names in the field, The Best Writing. on Mathematics makes mathematical writing available to a wide audience. ~Princeton Press;Mircea Pitici;Princeton University Press;English;Misc.;;;https://www.jstor.org/bookseries/j.ctt4zbnk?refreqid=excelsior%3A2a6ab47c2b4508c8d1cf4d31e3a6ef75
The Best Writing on Mathematics 2021 (Volume 20);2021;Book;This annual anthology brings together the year’s finest mathematics writing from around the world. Featuring promising new voices alongside some of the foremost names in the field, The Best Writing. on Mathematics makes mathematical writing available to a wide audience. ~Princeton Press;Mircea Pitici;Princeton University Press;English;Misc.;;;https://www.jstor.org/bookseries/j.ctt4zbnk?refreqid=excelsior%3A2a6ab47c2b4508c8d1cf4d31e3a6ef75
The Birthday Paradox;1927;Party trick;A trick you can try out on your class. If there are 23 students, the chance that two of them share a birthday is over 50%. If there are 60 students, the chance is almost 99%. ;Harold Davenport ;-;-;Statistics;Yes;All;https://www.youtube.com/watch?v=KtT_cgMzHx8
The Black Swan: The Impact of the Highly Improbable (Incerto);2007;Book;"A black swan is a highly improbable event with three principal characteristics: It is unpredictable; it carries a massive impact; and, after the fact, we concoct an explanation that makes it appear less random, and more predictable, than it was. The astonishing success of Google was a black swan; so was 9/11. For Nassim Nicholas Taleb, black swans underlie almost everything about our world, from the rise of religions to events in our own personal lives.";Nassim Nicholas Taleb ;Random House;English;Probability;Yes;All;https://www.amazon.com/Black-Swan-Improbable-Robustness-Fragility/dp/081297381X
The Bogota Puzzles;2020;Book;Colombian mathematician and professor Bernardo Recamán assembled these 80 brainteasers, which he acquired while living and working in Bogotá.;Bernardo Recamán Santos;Dover Publications Inc.;English | Spanish;Problem solving;Yes;8–13;https://www.amazon.com/Bogot%C3%A1-Puzzles-Bernardo-Recam%C3%A1n/dp/048684241X
The Calculus Gallery ;2004;Book;"More than three centuries after its creation, calculus remains a dazzling intellectual achievement and the gateway into higher mathematics. This book charts its growth and development by sampling from the work of some of its foremost practitioners, beginning with Isaac Newton and Gottfried Wilhelm Leibniz in the late seventeenth century and continuing to Henri Lebesgue at the dawn of the twentieth--mathematicians whose achievements are comparable to those of Bach in music or Shakespeare in literature. William Dunham lucidly presents the definitions, theorems, and proofs. ""Students of literature read Shakespeare; students of music listen to Bach,"" he writes. But this tradition of studying the major works of the ""masters"" is, if not wholly absent, certainly uncommon in mathematics. This book seeks to redress that situation.";William Dunham;Princeton University Press;English;Calculus;Yes;Higher ed.;https://www.amazon.com/Calculus-Gallery-Masterpieces-Newton-Lebesgue/dp/0691136262
The Canterbury Puzzles;1907;Book;"""This unique book for challenge-loving teenagers and veteran puzzle solvers of all ages presents more than 110 of Dudeney's puzzles""";Henry E. Dudeney;Dover Publications Inc.;English;Problem solving;Yes;All;https://www.gutenberg.org/files/27635/27635-h/27635-h.htm
The Code;2011;Documentary;Mathematics-based documentary television programme for BBC Two presented by Marcus du Sautoy. Each episode covers a different branch of mathematics.;Marcus du Sautoy;The Open University | BBC;English;Misc.;;All;https://www.imdb.com/title/tt2060305/
The Colossal Book of Mathematics: Classic Puzzles, Paradoxes, and Problems;2001;Book;Admired by scientists and mathematicians, writers and readers alike, Gardner's vast knowledge and burning curiosity reveal themselves on every page. The culmination of a lifelong devotion to the wonders of mathematics, The Colossal Book of Mathematics is the largest and most comprehensive math book ever assembled by Gardner and remains an indispensable volume for the amateur and expert alike.;Martin Gardner;W. W. Norton & Company;English;Algebra | Geometry | Puzzles;Yes;All;https://www.goodreads.com/book/show/415052.The_Colossal_Book_of_Mathematics
The Curious Incident of the Dog in the Night-Time Paperback;2004;Book;"Winner of the Whitbread Book of the Year. 'Outstanding...a stunningly good read' Observer. 'Mark Haddon's portrayal of an emotionally dissociated mind is a superb achievement...Wise and bleakly funny' Ian McEwan. The Curious Incident of the Dog in the Night-Time is a murder mystery novel like no other. The detective, and narrator, is Christopher Boone. Christopher is fifteen and has Asperger's Syndrome. He knows a very great deal about maths and very little about human beings. He loves lists, patterns and the truth. He hates the colours yellow and brown and being touched. He has never gone further than the end of the road on his own, but when he finds a neighbour's dog murdered he sets out on a terrifying journey which will turn his whole world upside down.
";Mark Haddon;Random House;English;Fiction;;;https://www.amazon.com/Curious-Incident-Dog-Night-Time/dp/0099450259
The Dot and the Line;1965;Short film;Animated short film directed by Chuck Jones and co-directed by Maurice Noble, based on the 1963 book of the same name written and illustrated by Norton Juster;Chuck Jones;MGM Animation/Visual Arts;English;Geometry;Yes;All;
The Dot and the Line: A Romance in Lower Mathematics;1963;Book;The story details a straight blue line who is hopelessly in love with a red dot. The dot, finding the line to be stiff, dull, and conventional, turns her affections toward a wild and unkempt squiggle. Taking advantage of the line's stiffness, the squiggle rubs it in that he is a lot more fun for the dot.;Maurice Noble;-;English;Geometry;Yes;All;
